Column1,Column2
104.22.74.167,136
104.22.77.22,136
104.22.76.194,136
104.22.77.81,136
104.22.77.216,136
104.22.76.146,136
104.22.77.252,136
104.22.78.236,136
104.22.79.3,136
104.22.77.224,136
104.22.79.7,136
104.22.78.83,136
104.22.79.157,136
104.22.78.55,136
104.22.76.244,136
104.22.79.170,136
104.27.192.4,136
104.27.192.159,136
104.27.192.225,136
104.27.192.148,136
104.27.192.166,136
104.27.192.116,136
104.27.193.82,136
104.27.194.163,136
104.27.194.178,136
104.27.195.64,136
104.27.194.21,136
104.27.195.174,136
104.27.193.152,136
104.27.195.97,136
104.27.193.172,136
104.27.194.228,136
104.27.192.174,136
104.27.194.211,136
104.27.193.235,136
104.27.196.72,136
104.27.196.191,136
104.27.196.248,136
104.27.197.12,136
104.27.197.56,136
104.27.196.28,136
104.27.198.167,136
104.27.197.211,136
104.27.197.88,136
104.27.197.117,136
104.27.199.48,136
104.27.197.239,136
104.27.197.139,136
104.27.199.43,136
104.27.197.228,136
104.27.199.108,136
104.27.199.130,136
104.27.199.195,136
104.27.200.21,136
104.27.200.135,136
104.27.201.97,136
104.27.202.26,136
104.27.202.44,136
104.27.200.228,136
104.27.200.250,136
104.27.201.59,136
104.27.202.56,136
104.27.203.43,136
104.27.202.34,136
104.27.201.237,136
104.27.203.84,136
104.27.203.130,136
104.27.203.212,136
104.27.204.151,136
104.27.205.16,136
104.27.205.63,136
104.27.206.48,136
104.27.205.162,136
104.27.204.76,136
104.27.205.219,136
104.27.205.108,136
104.27.206.155,136
104.27.206.180,136
104.27.207.33,136
104.27.206.249,136
104.27.207.191,136
104.27.207.177,136
172.67.48.155,136
172.67.48.191,136
172.67.50.26,136
172.67.53.41,136
172.67.48.100,136
172.67.63.23,136
172.67.63.40,136
172.67.63.92,136
172.67.50.118,136
172.67.51.131,136
172.67.52.89,136
172.67.53.195,136
172.67.55.124,136
172.67.58.155,136
172.67.58.213,136
172.67.61.146,136
172.67.50.119,136
172.67.55.220,136
172.67.59.173,136
172.67.61.99,136
172.67.50.218,136
172.67.55.105,136
172.67.55.183,136
172.67.51.11,136
172.67.51.84,136
172.67.48.203,136
104.22.64.127,137
104.22.64.37,137
104.22.65.18,137
104.22.65.8,137
104.22.65.54,137
104.22.65.198,137
104.22.66.43,137
104.22.66.61,137
104.22.66.80,137
104.22.66.213,137
104.22.67.175,137
104.22.67.156,137
104.22.68.122,137
104.22.68.236,137
104.22.68.100,137
104.22.68.142,137
104.22.68.93,137
104.22.67.68,137
104.22.68.8,137
104.22.69.70,137
104.22.69.97,137
104.22.69.169,137
104.22.69.178,137
104.22.69.200,137
104.22.69.221,137
104.22.70.77,137
104.22.71.135,137
104.22.72.121,137
104.22.70.119,137
104.22.71.198,137
104.22.71.199,137
104.22.71.75,137
104.22.72.191,137
104.22.71.84,137
104.22.71.172,137
104.22.71.192,137
104.22.70.157,137
104.22.72.134,137
104.22.73.26,137
104.22.73.27,137
104.22.74.3,137
104.22.73.117,137
104.22.74.107,137
104.22.75.86,137
104.22.74.193,137
104.22.75.178,137
104.22.74.76,137
104.22.74.44,137
104.22.73.36,137
104.22.75.142,137
104.22.75.19,137
104.22.74.172,137
104.22.76.90,137
104.22.76.145,137
104.22.77.163,137
104.22.77.20,137
104.22.78.190,137
104.22.78.168,137
104.22.78.176,137
104.22.77.43,137
104.22.78.222,137
104.22.78.18,137
104.22.77.192,137
104.22.78.51,137
104.22.76.167,137
104.22.79.145,137
104.22.78.122,137
